card game,escape game
penguin,polar bear
worrier,narcissist
FAX,mobile phone
vanilla,Anko
spider man, Kamen rider
tropical fish,hamster
pickles,Coriander
Pegasus,Dragon
Tetris,Pac-Man
honey,condensed milk
alien,Chupacabra
tennis player, football player
marshmallow,rice cake
Ramen,Pasta
eavesdropper,hidden camera
Sunburn,scab
Locust,Dragonfly
traffic light,street lamp
panda,zebra
Udon,Ramen
phone number,post code
Rich man,chef
Coke,Tea
Stress,Loneliness
summer festival,Happy new Year
knife,fork
Ham,sausage
driver,hammer
skin head ,silver hair
Coke, coffee
tape,scissors
text book, novel
triathlon,Kickboxing
basketball , football
cell,DNA
Ironman,Ultraman
Park,schoolyard
spoon,rice scoop
Slide,Swing
onion,carrot
bowling,karaoke
sneeze,sigh
wig,Helmet
Sea,Pool
mammoth,Tyrannosaurus
Apple,Orange
rice ball, sushi
flies,Bat
Batman,Spiderman
